Ocupação;Quantitativo;Porcentagem;Ano
Sociólogo;14;0,0011;2006
Frentista;5;0,0004;2006
Técnico de Mecânica;9;0,0007;2006
Técnico em Edificações;6;0,0005;2006
Artista Plástico e Assemelhados;10;0,0008;2006
Tradutor, Intérprete e Filólogo;1;0,0001;2006
Estivador, Carregador e Assemelhados;1;0,0001;2006
Funileiro;2;0,0002;2006
Empresário;841;0,0688;2006
Office-Boy e Contínuo;2;0,0002;2006
Cabeleireiro e Barbeiro;30;0,0025;2006
Policial Civil;67;0,0055;2006
Bancário e Economiário;90;0,0074;2006
Sacerdote ou Membro de Ordem ou Seita Religiosa;58;0,0047;2006
Trabalhador de Fabricação de Produtos Têxteis (Exceto Roupas);1;0,0001;2006
Supervisor, Inspetor e Agente de Compras e Vendas;15;0,0012;2006
Leiloeiro, Avaliador e Assemelhados;2;0,0002;2006
Guardador de Veículos;2;0,0002;2006
Agenciador de Propaganda;2;0,0002;2006
Nutricionista e Assemelhados;7;0,0006;2006
Trabalhador Metalúrgico e Siderúrgico;16;0,0013;2006
Montador de Máquinas;1;0,0001;2006
Guia de Turismo;3;0,0002;2006
Comunicólogo;1;0,0001;2006
Lavandeiro, Tintureiro e Assemelhados;1;0,0001;2006
Modelo;1;0,0001;2006
Vendedor de Comércio Varejista e Atacadista;84;0,0069;2006
Agente Postal;7;0,0006;2006
Economista Doméstico;2;0,0002;2006
Artesão;11;0,0009;2006
Professor e Instrutor de Formação Profissional;37;0,003;2006
Senador;2;0,0002;2006
Tabelião;7;0,0006;2006
Agente de Viagem;8;0,0007;2006
Petroleiro;4;0,0003;2006
Químico;3;0,0002;2006
Físico;1;0,0001;2006
Almoxarife;4;0,0003;2006
Vigilante;57;0,0047;2006
Serventuário de Justiça;14;0,0011;2006
Corretor de Imóveis, Seguros, Títulos e Valores;108;0,0088;2006
Lanterneiro e Pintor de Veículos;6;0,0005;2006
Técnico de Enfermagem e Assemelhados (Exceto Enfermeiro);51;0,0042;2006
Detetive Particular;4;0,0003;2006
Enfermeiro;36;0,0029;2006
Artista de Circo;3;0,0002;2006
Escultor e Pintor;8;0,0007;2006
Aposentado (Exceto Servidor Público);220;0,018;2006
Motorista Particular;62;0,0051;2006
Trabalhador de Artes Gráficas;7;0,0006;2006
Técnico de Eletricidade, Eletrônica e Telecomunicações;26;0,0021;2006
Engraxate;1;0,0001;2006
Faxineiro;3;0,0002;2006
Leiturista;1;0,0001;2006
Contador;90;0,0074;2006
Militar Reformado;71;0,0058;2006
Desenhista;7;0,0006;2006
Servidor Público Civil Aposentado;113;0,0092;2006
Taxista;31;0,0025;2006
Pescador;12;0,001;2006
Atleta Profissional e Técnico em Desportos;10;0,0008;2006
Técnico de Obras Civis, Estradas, Saneamento e Assemelhados;7;0,0006;2006
Operador de Equipamento de Rádio, Televisão, Som e Cinema;6;0,0005;2006
Joalheiro e Ourives;1;0,0001;2006
Trabalhador de Fabricação, Vulcanização e Reparação de Pneumáticos;1;0,0001;2006
Operador de Aparelhos de Produção Industrial;8;0,0007;2006
Policial Militar;374;0,0306;2006
Médico;500;0,0409;2006
Economista;74;0,0061;2006
Dona de Casa;52;0,0043;2006
Analista de Sistemas;17;0,0014;2006
Matemático e Atuário;3;0,0002;2006
Gerente;42;0,0034;2006
Assistente Social;17;0,0014;2006
Agente Administrativo;49;0,004;2006
Gari ou Lixeiro;3;0,0002;2006
Fiscal de Transporte Coletivo;5;0,0004;2006
Garimpeiro;1;0,0001;2006
Jardineiro;2;0,0002;2006
Recepcionista;3;0,0002;2006
