Ocupação;Quantitativo;Porcentagem;Ano
FEIRANTE, AMBULANTE E MASCATE;1;0,0002;2002
SECRETARIO,ESTENOGRAFO,DATILOGRAFO,RECEPCIONISTA,TELEFONISTA,TAQUIGRAF;12;0,0024;2002
CORRETOR DE IMOVEIS, SEGUROS, TITULOS E VALORES;44;0,009;2002
TECNICO DE ENFERMAGEM E TRABALHADOR ASSEMELHADO (EXCETO ENFERMEIRO);3;0,0006;2002
GEOLOGO;3;0,0006;2002
DIRETOR DE EMPRESAS;11;0,0022;2002
TRABALHADOR DE USINAGEM DE METAIS;1;0,0002;2002
FERROVIARIO;4;0,0008;2002
DIGITADOR;3;0,0006;2002
PORTEIRO DE EDIFICIO, ASCENSORISTA, GARAGISTA, FAXINEIRO E ZELADOR;2;0,0004;2002
FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL;5;0,001;2002
GEOGRAFO;2;0,0004;2002
TORNEIRO MECANICO;1;0,0002;2002
PESCADOR;1;0,0002;2002
Servidor Público Municipal;90;0,0171;2006
Engenheiro;114;0,0216;2006
Administrador;90;0,0171;2006
Geólogo;4;0,0008;2006
Eletricista e Assemelhados;12;0,0023;2006
Bombeiro Militar;21;0,004;2006
Escritor e Crítico;6;0,0011;2006
Motorista de Veículos de Transporte de Carga;9;0,0017;2006
Veterinário;7;0,0013;2006
Operador de Implemento de Agricultura, Pecuária e Exploração Florestal;1;0,0002;2006
Agrônomo;10;0,0019;2006
Operador de Computador;1;0,0002;2006
Trabalhador Florestal;1;0,0002;2006
Porteiro de Edifício, Ascensorista, Garagista e Zelador;1;0,0002;2006
Encanador, Soldador, Chapeador e Caldeireiro;2;0,0004;2006
Advogado;526;0,0998;2006
Feirante, Ambulante e Mascate;6;0,0011;2006
Mestre e Contramestre de Embarcação;1;0,0002;2006
Professor de Ensino Médio;122;0,0232;2006
Geógrafo;1;0,0002;2006
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;24;0,0046;2006
Programador de Computador;4;0,0008;2006
Técnico de Laboratório e Raios X;3;0,0006;2006
Trabalhador Dos Serviços de Contabilidade, de Caixa e Assemelhados;2;0,0004;2006
Digitador;2;0,0004;2006
Protético;2;0,0004;2006
Mecânico de Manutenção;10;0,0019;2006
Despachante;8;0,0015;2006
Vereador;194;0,0368;2006
Ocupante de Cargo em Comissão;11;0,0021;2006
Técnico Contabilidade, Estatística, Economia Doméstica e Administração;24;0,0046;2006
Auxiliar de Escritório e Assemelhados;16;0,003;2006
Diretor de Estabelecimento de Ensino;5;0,0009;2006
Trabalhador Rural;2;0,0004;2006
Professor de Ensino Fundamental;50;0,0095;2006
Locutor e Comentarista de Rádio e Televisão e Radialista;48;0,0091;2006
Representante Comercial;33;0,0063;2006
Farmacêutico;6;0,0011;2006
Diretor de Empresas;16;0,003;2006
Cientista Político;3;0,0006;2006
Trabalhador de Fabricação de Calçados e Artefatos de Couro;1;0,0002;2006
Serralheiro;2;0,0004;2006
Biomédico;2;0,0004;2006
Coreógrafo e Bailarino;1;0,0002;2006
Membro das Forças Armadas;18;0,0034;2006
Odontólogo;28;0,0053;2006
Comerciário;21;0,004;2006
Produtor Agropecuário;25;0,0047;2006
Biólogo;5;0,0009;2006
Industrial;11;0,0021;2006
Empregado Doméstico;2;0,0004;2006
Agente de Saúde e Sanitarista;3;0,0006;2006
Bibliotecário;2;0,0004;2006
Telefonista;2;0,0004;2006
Técnico de Mineração, Metalurgia e Geologia;1;0,0002;2006
Deputado;357;0,0678;2006
Comerciante;327;0,0621;2006
Psicólogo;9;0,0017;2006
Servidor Público Estadual;161;0,0306;2006
Motorista de Veículos de Transporte Coletivo de Passageiros;16;0,003;2006
Professor de Ensino Superior;96;0,0182;2006
Técnico em Agronomia e Agrimensura;4;0,0008;2006
Fotógrafo e Assemelhados;4;0,0008;2006
Trabalhador de Fabricação de Roupas;1;0,0002;2006
Produtor de Espetáculos Públicos;6;0,0011;2006
Servidor Público Federal;150;0,0285;2006
Jornalista e Redator;53;0,0101;2006
Arquiteto;15;0,0028;2006
Agricultor;41;0,0078;2006
Ator e Diretor de Espetáculos Públicos;8;0,0015;2006
Piloto de Aviação Comercial, Navegador, Mecânico de Vôo e Assemelhados;3;0,0006;2006
Trabalhador de Construção Civil;12;0,0023;2006
Alfaiate e Costureiro;3;0,0006;2006
Terapeuta;3;0,0006;2006
Fiandeiro, Tecelão, Tingidor e Assemelhados;1;0,0002;2006
Operador de Instalação de Produção de Energia Elétrica e Nuclear;1;0,0002;2006
Pecuarista;20;0,0038;2006
Técnico em Informática;5;0,0009;2006
Publicitário;21;0,004;2006
Cantor e Compositor;17;0,0032;2006
Estudante, Bolsista, Estagiário e Assemelhados;75;0,0142;2006
Sociólogo;11;0,0021;2006
Artista Plástico e Assemelhados;4;0,0008;2006
